Performer,SP,FS,Total
Nathan Chen,"113,97","218,63","332,6"
Yuma Kagiyama,"108,12","201,93","310,05"
Shoma Uno,"105,9","187,1",293
Yuzuru Hanyu,"95,15","188,06","283,21"
Junhwan Cha,"99,51","182,87","282,38"
Jason Brown,"97,24",184,"281,24"
Daniel Grassl,"90,64","187,43","278,07"
Evgeni Semenenko,"95,76","178,37","274,13"
Boyang Jin,"90,98","179,45","270,43"
Morisi Kvitelashvili,"97,98","170,64","268,62"
